review_id,order_review_id,review_score,review_creation_date
1,1,5,7/1/2023
2,2,1,11/1/2023
3,3,5,12/1/2023
4,4,5,8/1/2023
5,5,4,17-01-2023
6,6,4,17-01-2023
7,7,5,21-01-2023
8,8,4,19-01-2023
9,9,5,19-01-2023
10,10,5,25-01-2023
11,11,5,25-01-2023
12,12,3,28-01-2023
13,13,5,28-01-2023
14,14,5,31-01-2023
15,15,4,25-01-2023
16,16,4,28-01-2023
17,17,5,31-01-2023
18,18,4,2/2/2023
19,19,2,4/2/2023
20,20,1,7/2/2023
21,21,5,9/2/2023
22,22,5,14-02-2023
23,23,2,9/2/2023
24,24,5,16-02-2023
25,25,1,13-02-2023
26,26,4,16-02-2023
27,27,1,20-02-2023
28,28,3,19-02-2023
29,29,4,22-02-2023
30,30,5,28-02-2023
31,31,4,23-02-2023
32,32,4,28-02-2023
33,33,5,27-02-2023
34,34,4,27-02-2023
35,35,4,3/3/2023
36,36,4,1/3/2023
37,37,5,2/3/2023
38,38,5,6/3/2023
39,39,5,6/3/2023
40,40,5,13-03-2023
41,41,3,10/3/2023
42,42,4,15-03-2023
43,43,4,16-03-2023
44,44,4,12/3/2023
45,45,4,17-03-2023
46,46,1,19-03-2023
47,47,5,20-03-2023
48,48,4,23-03-2023
49,49,4,25-03-2023
50,50,5,21-03-2023
51,51,5,25-03-2023
52,52,4,24-03-2023
53,53,2,26-03-2023
54,54,5,26-03-2023
55,55,4,3/4/2023
56,56,4,31-03-2023
57,57,4,30-03-2023
58,58,5,8/4/2023
59,59,1,8/4/2023
60,60,4,7/4/2023
61,61,2,6/4/2023
62,62,5,10/4/2023
63,63,4,13-04-2023
64,64,5,16-04-2023
65,65,4,13-04-2023
66,66,4,15-04-2023
67,67,4,13-04-2023
68,68,5,19-04-2023
69,69,4,22-04-2023
70,70,5,20-04-2023
71,71,4,23-04-2023
72,72,5,23-04-2023
73,73,4,29-04-2023
74,74,5,26-04-2023
75,75,4,28-04-2023
76,76,5,1/5/2023
77,77,4,5/5/2023
78,78,4,5/5/2023
79,79,4,2/5/2023
80,80,5,3/5/2023
81,81,4,12/5/2023
82,82,4,9/5/2023
83,83,5,12/5/2023
84,84,5,13-05-2023
85,85,5,14-05-2023
86,86,4,14-05-2023
87,87,4,14-05-2023
88,88,5,13-05-2023
89,89,5,19-05-2023
90,90,4,20-05-2023
91,91,4,22-05-2023
92,92,5,24-05-2023
93,93,5,22-05-2023
94,94,4,30-05-2023
95,95,4,25-05-2023
96,96,5,2/6/2023
97,97,5,30-05-2023
98,98,3,1/6/2023
99,99,4,3/6/2023
100,100,1,6/6/2023
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
