order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date
1,20,finished,01-01-2023 - 17:09:31,01-01-2023 - 18:44:31,2/1/2023,7/1/2023
2,44,finished,02-01-2023 - 19:33:49,02-01-2023 - 19:53:49,4/1/2023,11/1/2023
3,10,finished,04-01-2023 - 17:51:06,04-01-2023 - 19:05:06,7/1/2023,12/1/2023
4,27,finished,06-01-2023 - 14:13:41,06-01-2023 - 14:35:41,7/1/2023,8/1/2023
5,18,finished,08-01-2023 - 11:00:04,08-01-2023 - 12:57:04,10/1/2023,17-01-2023
6,28,finished,09-01-2023 - 05:58:37,09-01-2023 - 06:49:37,10/1/2023,17-01-2023
7,5,finished,11-01-2023 - 07:05:42,11-01-2023 - 07:43:42,14-01-2023,21-01-2023
8,3,finished,13-01-2023 - 19:24:09,13-01-2023 - 19:31:09,16-01-2023,19-01-2023
9,29,finished,14-01-2023 - 05:15:02,14-01-2023 - 06:19:02,15-01-2023,19-01-2023
10,3,finished,15-01-2023 - 08:52:41,15-01-2023 - 09:47:41,18-01-2023,25-01-2023
11,35,finished,17-01-2023 - 07:11:48,17-01-2023 - 08:56:48,20-01-2023,25-01-2023
12,31,finished,19-01-2023 - 22:27:45,20-01-2023 - 00:10:45,23-01-2023,28-01-2023
13,44,finished,21-01-2023 - 07:20:50,21-01-2023 - 08:28:50,24-01-2023,28-01-2023
14,43,finished,22-01-2023 - 06:43:07,22-01-2023 - 08:28:07,25-01-2023,31-01-2023
15,45,finished,23-01-2023 - 01:22:27,23-01-2023 - 02:21:27,24-01-2023,25-01-2023
16,20,finished,25-01-2023 - 13:53:54,25-01-2023 - 14:38:54,27-01-2023,28-01-2023
17,44,finished,27-01-2023 - 00:10:43,27-01-2023 - 01:19:43,30-01-2023,31-01-2023
18,5,finished,28-01-2023 - 11:10:28,28-01-2023 - 12:27:28,29-01-2023,2/2/2023
19,13,finished,30-01-2023 - 10:57:41,30-01-2023 - 11:27:41,31-01-2023,4/2/2023
20,27,finished,31-01-2023 - 01:44:07,31-01-2023 - 02:20:07,1/2/2023,7/2/2023
21,33,finished,02-02-2023 - 23:27:06,03-02-2023 - 01:24:06,4/2/2023,9/2/2023
22,34,finished,04-02-2023 - 05:05:44,04-02-2023 - 06:07:44,7/2/2023,14-02-2023
23,2,finished,06-02-2023 - 00:07:29,06-02-2023 - 00:33:29,8/2/2023,9/2/2023
24,27,finished,07-02-2023 - 02:49:09,07-02-2023 - 03:18:09,10/2/2023,16-02-2023
25,29,finished,09-02-2023 - 22:09:01,09-02-2023 - 22:45:01,12/2/2023,13-02-2023
26,23,finished,10-02-2023 - 19:07:33,10-02-2023 - 20:36:33,13-02-2023,16-02-2023
27,9,finished,12-02-2023 - 11:24:49,12-02-2023 - 11:34:49,14-02-2023,20-02-2023
28,38,finished,14-02-2023 - 22:00:00,14-02-2023 - 22:17:00,17-02-2023,19-02-2023
29,1,finished,16-02-2023 - 03:11:28,16-02-2023 - 04:53:28,17-02-2023,22-02-2023
30,29,finished,18-02-2023 - 10:48:21,18-02-2023 - 11:27:21,21-02-2023,28-02-2023
31,21,diterima untuk diproses,19-02-2023 - 20:58:42,19-02-2023 - 22:03:42,21-02-2023,23-02-2023
32,2,finished,20-02-2023 - 03:13:29,20-02-2023 - 04:56:29,21-02-2023,28-02-2023
33,36,finished,21-02-2023 - 16:08:45,21-02-2023 - 17:41:45,24-02-2023,27-02-2023
34,47,finished,23-02-2023 - 13:40:13,23-02-2023 - 15:22:13,25-02-2023,27-02-2023
35,23,finished,25-02-2023 - 18:30:27,25-02-2023 - 20:01:27,28-02-2023,3/3/2023
36,40,finished,26-02-2023 - 03:34:54,26-02-2023 - 04:47:54,28-02-2023,1/3/2023
37,8,finished,28-02-2023 - 12:57:09,28-02-2023 - 13:20:09,1/3/2023,2/3/2023
38,46,finished,02-03-2023 - 19:35:42,02-03-2023 - 20:33:42,3/3/2023,6/3/2023
39,9,finished,03-03-2023 - 21:25:23,03-03-2023 - 23:24:23,5/3/2023,6/3/2023
40,46,finished,04-03-2023 - 21:17:07,04-03-2023 - 21:49:07,7/3/2023,13-03-2023
41,45,finished,05-03-2023 - 19:41:19,05-03-2023 - 20:53:19,6/3/2023,10/3/2023
42,35,finished,07-03-2023 - 11:01:52,07-03-2023 - 13:00:52,8/3/2023,15-03-2023
43,30,finished,08-03-2023 - 01:25:28,08-03-2023 - 01:36:28,11/3/2023,16-03-2023
44,38,finished,10-03-2023 - 08:25:45,10-03-2023 - 10:22:45,11/3/2023,12/3/2023
45,32,finished,12-03-2023 - 20:34:24,12-03-2023 - 21:54:24,13-03-2023,17-03-2023
46,37,pengiriman,13-03-2023 - 14:59:32,13-03-2023 - 16:25:32,16-03-2023,19-03-2023
47,27,finished,14-03-2023 - 10:06:24,14-03-2023 - 10:29:24,17-03-2023,20-03-2023
48,27,finished,16-03-2023 - 19:04:17,16-03-2023 - 20:16:17,17-03-2023,23-03-2023
49,9,finished,17-03-2023 - 00:04:07,17-03-2023 - 01:09:07,19-03-2023,25-03-2023
50,14,finished,18-03-2023 - 20:00:07,18-03-2023 - 21:31:07,19-03-2023,21-03-2023
51,14,finished,19-03-2023 - 03:08:25,19-03-2023 - 04:27:25,20-03-2023,25-03-2023
52,47,finished,21-03-2023 - 12:15:55,21-03-2023 - 13:20:55,23-03-2023,24-03-2023
53,47,finished,22-03-2023 - 12:54:58,22-03-2023 - 13:20:58,24-03-2023,26-03-2023
54,40,finished,23-03-2023 - 04:56:18,23-03-2023 - 04:59:18,24-03-2023,26-03-2023
55,18,finished,25-03-2023 - 05:10:24,25-03-2023 - 05:37:24,28-03-2023,3/4/2023
56,14,finished,26-03-2023 - 02:30:49,26-03-2023 - 02:54:49,28-03-2023,31-03-2023
57,11,finished,28-03-2023 - 09:05:15,28-03-2023 - 10:50:15,29-03-2023,30-03-2023
58,26,finished,30-03-2023 - 16:02:02,30-03-2023 - 16:36:02,2/4/2023,8/4/2023
59,25,finished,31-03-2023 - 19:37:05,31-03-2023 - 21:14:05,1/4/2023,8/4/2023
60,17,finished,02-04-2023 - 18:03:03,02-04-2023 - 18:50:03,3/4/2023,7/4/2023
61,12,finished,03-04-2023 - 03:36:00,03-04-2023 - 05:09:00,4/4/2023,6/4/2023
62,29,finished,04-04-2023 - 11:30:30,04-04-2023 - 12:59:30,7/4/2023,10/4/2023
63,19,finished,05-04-2023 - 21:42:57,05-04-2023 - 21:44:57,7/4/2023,13-04-2023
64,35,finished,07-04-2023 - 16:10:06,07-04-2023 - 17:00:06,9/4/2023,16-04-2023
65,17,finished,08-04-2023 - 08:38:31,08-04-2023 - 09:50:31,10/4/2023,13-04-2023
66,27,finished,10-04-2023 - 09:31:34,10-04-2023 - 10:22:34,13-04-2023,15-04-2023
67,43,finished,11-04-2023 - 17:06:55,11-04-2023 - 18:51:55,12/4/2023,13-04-2023
68,33,pengiriman,13-04-2023 - 03:48:05,13-04-2023 - 05:35:05,15-04-2023,19-04-2023
69,41,finished,14-04-2023 - 08:33:20,14-04-2023 - 10:01:20,15-04-2023,22-04-2023
70,21,finished,16-04-2023 - 20:52:30,16-04-2023 - 22:12:30,17-04-2023,20-04-2023
71,35,finished,17-04-2023 - 12:12:34,17-04-2023 - 12:55:34,19-04-2023,23-04-2023
72,15,pengiriman,18-04-2023 - 17:10:19,18-04-2023 - 17:14:19,19-04-2023,23-04-2023
73,47,finished,20-04-2023 - 00:34:55,20-04-2023 - 00:40:55,22-04-2023,29-04-2023
74,20,finished,22-04-2023 - 07:57:50,22-04-2023 - 08:33:50,25-04-2023,26-04-2023
75,43,pengiriman,24-04-2023 - 08:29:08,24-04-2023 - 09:05:08,26-04-2023,28-04-2023
76,38,diterima untuk diproses,25-04-2023 - 15:29:26,25-04-2023 - 15:47:26,28-04-2023,1/5/2023
77,2,finished,26-04-2023 - 15:07:44,26-04-2023 - 16:32:44,29-04-2023,5/5/2023
78,24,finished,27-04-2023 - 19:59:56,27-04-2023 - 20:37:56,30-04-2023,5/5/2023
79,31,diterima untuk diproses,29-04-2023 - 07:50:52,29-04-2023 - 09:06:52,30-04-2023,2/5/2023
80,3,finished,01-05-2023 - 20:41:44,01-05-2023 - 21:15:44,2/5/2023,3/5/2023
81,20,finished,03-05-2023 - 03:11:12,03-05-2023 - 03:30:12,6/5/2023,12/5/2023
82,24,finished,04-05-2023 - 11:36:52,04-05-2023 - 13:31:52,5/5/2023,9/5/2023
83,41,finished,05-05-2023 - 00:35:35,05-05-2023 - 00:54:35,7/5/2023,12/5/2023
84,19,finished,06-05-2023 - 05:40:38,06-05-2023 - 07:06:38,8/5/2023,13-05-2023
85,2,pengiriman,07-05-2023 - 20:46:55,07-05-2023 - 21:01:55,8/5/2023,14-05-2023
86,1,finished,08-05-2023 - 15:41:58,08-05-2023 - 16:21:58,11/5/2023,14-05-2023
87,46,finished,09-05-2023 - 22:19:23,10-05-2023 - 00:15:23,11/5/2023,14-05-2023
88,25,pengiriman,11-05-2023 - 03:19:52,11-05-2023 - 03:50:52,12/5/2023,13-05-2023
89,17,finished,13-05-2023 - 13:49:29,13-05-2023 - 15:44:29,14-05-2023,19-05-2023
90,34,finished,15-05-2023 - 06:43:57,15-05-2023 - 07:52:57,17-05-2023,20-05-2023
91,47,finished,17-05-2023 - 20:54:00,17-05-2023 - 22:50:00,18-05-2023,22-05-2023
92,37,finished,18-05-2023 - 14:17:40,18-05-2023 - 14:39:40,20-05-2023,24-05-2023
93,10,finished,19-05-2023 - 08:28:54,19-05-2023 - 09:52:54,21-05-2023,22-05-2023
94,18,diterima untuk diproses,20-05-2023 - 08:29:13,20-05-2023 - 10:01:13,23-05-2023,30-05-2023
95,1,finished,22-05-2023 - 15:55:58,22-05-2023 - 16:57:58,24-05-2023,25-05-2023
96,39,finished,24-05-2023 - 12:08:17,24-05-2023 - 12:31:17,26-05-2023,2/6/2023
97,30,finished,26-05-2023 - 12:55:15,26-05-2023 - 13:42:15,29-05-2023,30-05-2023
98,47,finished,27-05-2023 - 22:11:04,27-05-2023 - 23:50:04,29-05-2023,1/6/2023
99,13,pengiriman,29-05-2023 - 05:10:28,29-05-2023 - 06:18:28,1/6/2023,3/6/2023
100,11,finished,31-05-2023 - 17:57:09,31-05-2023 - 19:48:09,1/6/2023,6/6/2023
101,4,finished,02-06-2023 - 18:10:31,02-06-2023 - 19:22:31,4/6/2023,8/6/2023
102,10,finished,04-06-2023 - 15:36:11,04-06-2023 - 17:28:11,6/6/2023,13-06-2023
103,2,finished,06-06-2023 - 16:19:34,06-06-2023 - 17:29:34,8/6/2023,12/6/2023
104,48,pengiriman,07-06-2023 - 09:57:39,07-06-2023 - 11:57:39,10/6/2023,11/6/2023
105,42,finished,09-06-2023 - 09:15:45,09-06-2023 - 10:37:45,12/6/2023,18-06-2023
106,39,finished,10-06-2023 - 21:21:28,10-06-2023 - 22:48:28,11/6/2023,15-06-2023
107,15,finished,12-06-2023 - 21:24:52,12-06-2023 - 22:19:52,13-06-2023,19-06-2023
108,17,finished,14-06-2023 - 01:43:22,14-06-2023 - 02:14:22,16-06-2023,19-06-2023
109,21,finished,15-06-2023 - 13:37:11,15-06-2023 - 15:15:11,18-06-2023,24-06-2023
110,21,diterima untuk diproses,17-06-2023 - 11:16:44,17-06-2023 - 12:08:44,19-06-2023,21-06-2023
111,26,finished,18-06-2023 - 22:41:04,18-06-2023 - 23:31:04,20-06-2023,25-06-2023
112,31,finished,20-06-2023 - 07:24:33,20-06-2023 - 08:45:33,21-06-2023,28-06-2023
113,33,finished,22-06-2023 - 12:29:37,22-06-2023 - 13:22:37,23-06-2023,29-06-2023
114,1,finished,23-06-2023 - 05:15:06,23-06-2023 - 07:01:06,24-06-2023,28-06-2023
115,42,finished,25-06-2023 - 04:59:14,25-06-2023 - 05:57:14,27-06-2023,29-06-2023
116,3,finished,26-06-2023 - 12:29:02,26-06-2023 - 12:54:02,29-06-2023,4/7/2023
117,28,finished,28-06-2023 - 22:03:02,28-06-2023 - 22:07:02,1/7/2023,6/7/2023
118,40,finished,30-06-2023 - 20:40:18,30-06-2023 - 21:21:18,3/7/2023,10/7/2023
119,47,finished,01-07-2023 - 11:23:41,01-07-2023 - 13:04:41,3/7/2023,9/7/2023
120,35,finished,03-07-2023 - 15:40:59,03-07-2023 - 16:34:59,4/7/2023,8/7/2023
121,21,finished,04-07-2023 - 04:45:32,04-07-2023 - 04:55:32,7/7/2023,8/7/2023
122,24,finished,05-07-2023 - 18:42:34,05-07-2023 - 19:38:34,7/7/2023,9/7/2023
123,12,finished,07-07-2023 - 08:14:51,07-07-2023 - 09:25:51,9/7/2023,15-07-2023
124,9,finished,08-07-2023 - 04:29:50,08-07-2023 - 04:45:50,11/7/2023,18-07-2023
125,7,finished,09-07-2023 - 05:22:09,09-07-2023 - 06:14:09,11/7/2023,15-07-2023
126,35,finished,10-07-2023 - 07:58:33,10-07-2023 - 08:53:33,11/7/2023,13-07-2023
127,37,finished,11-07-2023 - 19:48:42,11-07-2023 - 21:17:42,13-07-2023,18-07-2023
128,16,finished,12-07-2023 - 17:30:45,12-07-2023 - 19:02:45,14-07-2023,21-07-2023
129,43,finished,14-07-2023 - 15:19:03,14-07-2023 - 16:24:03,16-07-2023,18-07-2023
130,28,finished,15-07-2023 - 08:27:17,15-07-2023 - 10:18:17,16-07-2023,22-07-2023
131,3,finished,16-07-2023 - 12:55:52,16-07-2023 - 13:47:52,19-07-2023,20-07-2023
132,41,finished,17-07-2023 - 02:49:48,17-07-2023 - 03:34:48,19-07-2023,20-07-2023
133,34,finished,19-07-2023 - 06:22:14,19-07-2023 - 07:59:14,20-07-2023,24-07-2023
134,27,finished,20-07-2023 - 07:27:45,20-07-2023 - 08:28:45,23-07-2023,26-07-2023
135,39,finished,21-07-2023 - 22:50:16,22-07-2023 - 00:22:16,23-07-2023,24-07-2023
136,9,pengiriman,23-07-2023 - 16:09:24,23-07-2023 - 16:43:24,25-07-2023,30-07-2023
137,32,pengiriman,25-07-2023 - 15:11:24,25-07-2023 - 15:50:24,27-07-2023,2/8/2023
138,31,finished,27-07-2023 - 07:31:29,27-07-2023 - 09:19:29,30-07-2023,31-07-2023
139,18,finished,29-07-2023 - 17:50:52,29-07-2023 - 19:16:52,30-07-2023,5/8/2023
